,fi,ru,sv,en,es,it,ar,ja,nds,tr,fr,zh,de,pl,ko,pt,la,uk,et,vi,da,th,eo,no,nl,fa,ca,hu,cs,lv,he,id,lt,el,lang_count,park_id,users,posts
286830,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,286830,2,2
287240,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2,287240,3,3
288439,69.0,,3.0,8.0,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,5,288439,67,86
288440,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,288440,3,5
289252,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,289252,3,3
289253,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,289253,9,11
289254,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2,289254,6,6
289255,14.0,,,5.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,3,289255,15,21
289256,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,289256,3,3
289668,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,289668,1,2
289670,11.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,289670,7,16
290088,26.0,6.0,2.0,1.0,,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,6,290088,30,41
290534,4.0,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,290534,6,12
291365,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,291365,3,3
291366,280.0,1.0,11.0,26.0,2.0,1.0,,,,,2.0,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,10,291366,222,330
292492,167.0,13.0,8.0,27.0,14.0,,,,,,1.0,,1.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,9,292492,195,246
292493,245.0,6.0,15.0,24.0,6.0,5.0,1.0,2.0,,,3.0,1.0,4.0,,1.0,2.0,,,,,,,,3.0,,,,,,,,,,,14,292493,253,320
292495,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,292495,1,1
292496,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,292496,2,2
292498,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,292498,1,1
