,fi,en,ru,it,sv,ja,pt,es,fr,nl,de,cs,id,zh,vi,th,fa,pl,et,tr,hu,lv,no,la,uk,ko,eo,is,lt,ar,da,ceb,he,ca,nds,el,sr,lang_count,park_id,users,posts
831,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,831,1,2
838,95.0,4.0,3.0,1.0,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,838,77,108
840,295.0,22.0,17.0,2.0,6.0,2.0,1.0,4.0,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,12,840,172,356
842,19.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,842,19,23
843,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,843,1,1
844,15.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,844,16,19
845,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,845,9,9
846,562.0,44.0,12.0,5.0,7.0,3.0,,6.0,1.0,,1.0,,3.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,12,846,502,657
847,5307.0,752.0,768.0,50.0,177.0,49.0,30.0,58.0,31.0,8.0,55.0,2.0,1.0,7.0,3.0,16.0,1.0,7.0,64.0,1.0,3.0,6.0,5.0,2.0,4.0,10.0,4.0,3.0,1.0,15.0,6.0,,4.0,1.0,1.0,,,34,847,5716,7710
848,142.0,10.0,2.0,,1.0,1.0,,5.0,,,3.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,10,848,129,170
849,12964.0,2093.0,783.0,101.0,618.0,132.0,96.0,101.0,83.0,11.0,692.0,7.0,9.0,14.0,5.0,5.0,3.0,12.0,26.0,12.0,14.0,7.0,24.0,4.0,3.0,11.0,5.0,2.0,,16.0,39.0,1.0,1.0,5.0,7.0,3.0,2.0,36,849,9469,18368
850,11868.0,7721.0,3840.0,559.0,667.0,564.0,404.0,685.0,384.0,99.0,375.0,23.0,29.0,178.0,29.0,94.0,28.0,63.0,86.0,123.0,29.0,30.0,54.0,22.0,35.0,311.0,19.0,13.0,19.0,312.0,86.0,8.0,22.0,24.0,19.0,13.0,6.0,37,850,18496,30350
851,1519.0,297.0,68.0,18.0,30.0,4.0,24.0,37.0,9.0,,6.0,1.0,,2.0,1.0,3.0,1.0,4.0,5.0,4.0,,,2.0,,,1.0,,,,2.0,2.0,3.0,,2.0,1.0,,,25,851,1265,2081
852,29.0,11.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,852,18,41
853,1523.0,224.0,146.0,30.0,44.0,15.0,25.0,22.0,9.0,1.0,61.0,,1.0,4.0,1.0,,,4.0,4.0,1.0,,2.0,,1.0,,,,,,1.0,3.0,,,,,,,21,853,1565,2150
854,135.0,11.0,9.0,,,,3.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,854,134,164
855,225.0,12.0,11.0,,1.0,1.0,,,1.0,2.0,,,,,1.0,,,,3.0,,,,,,,1.0,,,,,,,,,,,,10,855,121,261
856,6276.0,1798.0,1099.0,147.0,245.0,175.0,106.0,189.0,128.0,37.0,123.0,16.0,6.0,83.0,2.0,27.0,3.0,24.0,8.0,52.0,11.0,7.0,25.0,14.0,3.0,108.0,2.0,4.0,3.0,15.0,23.0,7.0,1.0,11.0,6.0,3.0,2.0,37,856,7118,11099
859,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,859,1,1
